id,input_title,recommended_id,recommended_title,genres,similarity_score,reason
ts22164,Monty Python's Flying Circus,ts29199,Monty Python's Personal Best,comedy animation,0.3988,"similar genres: comedy; shares cast members: Chapman, Eric, Gilliam, Graham, Idle, Jones, Michael, Palin, Terry"
ts22164,Monty Python's Flying Circus,tm148597,Monty Python: Live (Mostly),documentation comedy music,0.365,"similar genres: comedy; shares cast members: Eric, Gilliam, Idle, Jones, Michael, Palin, Terry"
ts22164,Monty Python's Flying Circus,tm62924,Monty Python Live at the Hollywood Bowl,comedy documentation,0.3476,"similar genres: comedy; shares cast members: Chapman, Eric, Gilliam, Graham, Idle, Jones, Michael, Palin, Terry"
ts22164,Monty Python's Flying Circus,tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,comedy,0.3423,"similar genres: comedy; shares cast members: Chapman, Eric, Gilliam, Graham, Idle, Jones, Michael, Palin, Terry"
tm70993,Life of Brian,tm62924,Monty Python Live at the Hollywood Bowl,comedy documentation,0.3838,"similar genres: comedy; shares cast members: Carol, Chapman, Cleese, Cleveland, Eric, Gilliam, Graham, Idle, Innes, John, Jones, Michael, Neil, Palin, Terry"
tm70993,Life of Brian,ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),comedy documentation,0.3686,"similar genres: comedy; shares cast members: Carol, Chapman, Cleese, Cleveland, Eric, Gilliam, Graham, Idle, John, Jones, Michael, Palin, Terry"
tm70993,Life of Brian,tm360904,The Meaning of Monty Python,documentation,0.3589,"shares cast members: Cleese, Eric, Gilliam, Idle, John, Jones, Michael, Palin, Terry"
tm70993,Life of Brian,tm148597,Monty Python: Live (Mostly),documentation comedy music,0.3509,"similar genres: comedy; shares cast members: Carol, Cleese, Cleveland, Eric, Gilliam, Idle, John, Jones, Michael, Palin, Terry"
tm70993,Life of Brian,tm57169,Monty Python: Live at Aspen,comedy documentation,0.3195,"similar genres: comedy; shares cast members: Chapman, Cleese, Eric, George, Gilliam, Graham, Idle, John, Jones, Michael, Palin, Terry"
tm14873,Dirty Harry,tm232797,Dunkirk,drama war action thriller history european,0.0918,"similar genres: action, thriller; shares cast members: Bill, Harry, James, John, Nolan, Richard"
tm14873,Dirty Harry,tm191110,Titanic,drama romance,0.0892,"shares cast members: Bill, Craig, David, De, Derek, Diana, Don, Garber, Garrett, Hicks, James, John, Kate, Kathleen, Kelly, Marc, Paul, Richard, Scott, Sean, Tony, Victor"
tm14873,Dirty Harry,tm1215536,The Hall: Honoring the Greats of Stand-Up,documentation comedy,0.0785,"shares cast members: Carlin, Davidson, George, John, Richard"
tm14873,Dirty Harry,tm54450,Christine,horror thriller european,0.0779,"similar genres: thriller; shares cast members: Darnell, David, Gordon, Harry, John, Kelly, Marc, Paul, Richard, William"
tm14873,Dirty Harry,tm177480,Police Academy,crime comedy,0.0777,"similar genres: crime; shares cast members: Andrew, Bob, David, Debralee, Don, George, Gordon, James, John, Robinson, Scott, W."
tm119281,Bonnie and Clyde,tm469911,Bonnie & Clyde,drama crime european,0.1544,"similar genres: crime, drama; shares cast members: Michael, Palmer"
tm119281,Bonnie and Clyde,tm154986,Deliverance,drama action thriller european,0.0739,"similar genres: action, drama; shares cast members: Beatty, Ken, Pollard"
tm119281,Bonnie and Clyde,tm150112,Old School,comedy european,0.0628,"shares cast members: Cranshaw, Gene, J., Michael, Patrick, Warren"
tm119281,Bonnie and Clyde,tm10811,Heavy,drama romance,0.0612,"similar genres: drama; shares cast members: J., Patrick, Taylor"
tm119281,Bonnie and Clyde,tm173066,The Interpreter,thriller crime european,0.0606,"similar genres: crime; shares cast members: Clyde, Michael, Patrick"
tm98978,The Blue Lagoon,tm456156,Sweetheart,horror thriller drama fantasy scifi,0.068,similar genres: drama
tm98978,The Blue Lagoon,tm872108,A Week Away,drama family romance,0.066,"similar genres: drama, romance"
tm98978,The Blue Lagoon,ts300274,Cooking With Paris,reality,0.0656,similar description and thematic content
tm98978,The Blue Lagoon,ts84782,Larva Island,animation comedy,0.0645,similar description and thematic content
tm98978,The Blue Lagoon,ts82302,Insatiable,drama comedy thriller,0.0627,"similar genres: drama; shares cast members: Christopher, Shields"
tm44204,The Guns of Navarone,tm120801,The Dirty Dozen,war action,0.0775,"similar genres: action, war; shares cast members: Anthony, George, Michael, Richard"
tm44204,The Guns of Navarone,tm36237,Contraband,action drama crime thriller,0.0749,"similar genres: action, drama; shares cast members: Allan, Anthony, David, Jr., Michael, Norman, Rhodes, William"
tm44204,The Guns of Navarone,tm144021,LEGO DC Comics Super Heroes: Batman Be-Leaguered,action animation family comedy scifi,0.0704,"similar genres: action; shares cast members: Baker, James, Michael"
tm44204,The Guns of Navarone,tm232797,Dunkirk,drama war action thriller history european,0.0692,"similar genres: action, drama, war; shares cast members: James, Michael, Richard"
tm44204,The Guns of Navarone,tm244220,Darkest Hour,drama history war thriller family,0.0659,"similar genres: drama, war; shares cast members: David, James, Michael, Nicholas, Richard"
tm67378,The Professionals,tm414746,Carlos Ballarta: furia ñera,comedy,0.0859,shares cast members: Carlos
tm67378,The Professionals,tm120801,The Dirty Dozen,war action,0.0858,"similar genres: action; shares cast members: John, Lancaster, Lee, Marvin, Ralph, Robert, Ryan, Taylor"
tm67378,The Professionals,tm191013,Boogie Nights,drama,0.0779,"shares cast members: Burt, Don, Eddie, Jack, Joe, John, Leigh, Philip, Robert"
tm67378,The Professionals,tm1047190,The Phantom,documentation crime,0.0773,similar description and thematic content
tm67378,The Professionals,tm1124066,Carlos Ballarta: False Prophet,comedy,0.0756,shares cast members: Carlos
tm69997,Richard Pryor: Live in Concert,tm1215536,The Hall: Honoring the Greats of Stand-Up,documentation comedy,0.2373,"similar genres: comedy, documentation; shares cast members: Pryor, Richard"
tm69997,Richard Pryor: Live in Concert,ts101503,Team Kaylie,comedy family,0.1474,similar genres: comedy; shares cast members: Pryor
tm69997,Richard Pryor: Live in Concert,ts93947,Wrong Kind of Black,drama comedy,0.1189,similar genres: comedy
tm69997,Richard Pryor: Live in Concert,tm51083,A Stoning in Fulham County,thriller crime drama,0.1164,shares cast members: Pryor
tm69997,Richard Pryor: Live in Concert,tm240076,Buster's Mal Heart,drama thriller crime,0.1106,shares cast members: Pryor
tm16479,White Christmas,tm244149,The Irishman,crime drama history thriller,0.0686,"shares cast members: Anne, Baker, Crawford, Danny, Dean, Frank, John, Johnny, Robert"
tm16479,White Christmas,tm817087,#AnneFrank. Parallel Stories,drama history documentation,0.0632,"shares cast members: Anne, Frank"
tm16479,White Christmas,tm7951,Tim Allen: Rewires America,comedy documentation,0.0609,similar genres: comedy; shares cast members: Allen
tm16479,White Christmas,tm148976,The Battered Bastards of Baseball,documentation sport,0.0609,"shares cast members: Bing, Frank, Johnny, Robert"
tm16479,White Christmas,ts21967,Johnny Test,animation comedy drama family scifi action,0.0596,similar genres: comedy
tm135083,Cairo Station,tm14350,Alexandria… Why?,drama,0.3255,"similar genres: drama; shares cast members: Abdel, Ahmed, Chahine, El, Farid, Mahmoud, Mohamed, Shawqi, Youssef; same director (Youssef Chahine)"
tm135083,Cairo Station,tm19608,The Blazing Sun,crime romance drama,0.2705,"similar genres: crime, drama; shares cast members: Abdel, Farid, Ghani, Rostom, Shawqi; same director (Youssef Chahine)"
tm135083,Cairo Station,tm27298,Saladin the Victorious,action drama war history romance,0.243,"similar genres: drama; shares cast members: Abdel, Ahmed, El, Lotfi, Loutfi, Mahmoud, Mazhar, Mohamed, Nadia; same director (Youssef Chahine)"
tm135083,Cairo Station,tm81728,The Land,drama,0.227,"similar genres: drama; shares cast members: Abdel, Ahmed, Chahine, El, Mahmoud; same director (Youssef Chahine)"
tm135083,Cairo Station,tm417488,Mama's Boy,comedy,0.2261,"similar genres: comedy; shares cast members: Abdel, Ahmed, El, Hassan, Mahmoud, Mohamed, Tharwat"
tm89386,Hitler: A Career,tm919880,Final Account,documentation,0.2023,similar genres: documentation
tm89386,Hitler: A Career,tm355666,Saving Capitalism,documentation,0.0946,similar genres: documentation
tm89386,Hitler: A Career,ts55556,A Touch of Green,drama war,0.0797,similar description and thematic content
tm89386,Hitler: A Career,ts74928,Einsatzgruppen: The Nazi Death Squads,documentation history war european,0.0726,"similar genres: documentation, european, history"
tm89386,Hitler: A Career,ts88262,Traitors,war drama thriller history,0.0707,similar genres: history
tm156453,FTA,tm175687,Sir! No Sir!,war documentation,0.2233,"similar genres: documentation, war; shares cast members: Donald, Fonda, Jane, Sutherland"
tm156453,FTA,tm877456,9to5: The Story of A Movement,documentation history,0.1636,"similar genres: documentation; shares cast members: Fonda, Jane"
tm156453,FTA,ts296214,How to Become a Tyrant,documentation war history,0.1049,"similar genres: documentation, war; shares cast members: Peter"
tm156453,FTA,tm1207099,Jane Fonda & Lily Tomlin: Ladies Night Live,comedy documentation,0.1027,"similar genres: comedy, documentation; shares cast members: Fonda, Jane"
tm156453,FTA,tm847629,Dolly Parton: Here I Am,documentation music,0.0847,"similar genres: documentation, music; shares cast members: Fonda, Jane"
tm14350,Alexandria… Why?,tm81728,The Land,drama,0.3303,"similar genres: drama; shares cast members: Abdel, Ahmed, Alaili, Assir, Chahine, El, Ezzat, Hamdy, Mahmoud, Warith, Yehia, el-Meliguy; same director (Youssef Chahine)"
tm14350,Alexandria… Why?,tm135083,Cairo Station,drama crime comedy,0.3255,"similar genres: drama; shares cast members: Abdel, Ahmed, Chahine, El, Farid, Mahmoud, Mohamed, Shawqi, Youssef; same director (Youssef Chahine)"
tm14350,Alexandria… Why?,tm19608,The Blazing Sun,crime romance drama,0.3239,"similar genres: drama; shares cast members: Abdel, Ahmad, Assir, Farid, Hamdy, Shawqi, Waress, Warith, Zaki; same director (Youssef Chahine)"
tm14350,Alexandria… Why?,tm27298,Saladin the Victorious,action drama war history romance,0.3097,"similar genres: drama; shares cast members: Abdel, Ahmad, Ahmed, El, Fawzi, Hamdy, Leila, Mahmoud, Mohamed, Zaki, el-Meliguy; same director (Youssef Chahine)"
tm14350,Alexandria… Why?,tm151332,"Alexandria, Again and Forever",drama,0.2943,"similar genres: drama; shares cast members: Abdel, Abdelrahman, Ahmed, Chahine, El, Kamel, Mohamed, Seif, Tawfik, Youssef, Zaki; same director (Youssef Chahine)"
tm81728,The Land,tm14350,Alexandria… Why?,drama,0.3303,"similar genres: drama; shares cast members: Abdel, Ahmed, Alaili, Assir, Chahine, El, Ezzat, Hamdy, Mahmoud, Warith, Yehia, el-Meliguy; same director (Youssef Chahine)"
tm81728,The Land,tm428982,Son Of Adam,drama thriller,0.3222,"similar genres: drama; shares cast members: Al, El, Mahmoud, Sherif"
tm81728,The Land,tm27298,Saladin the Victorious,action drama war history romance,0.2735,"similar genres: drama; shares cast members: Abdel, Ahmed, Dekn, El, Hamdy, Ibrahim, Mahmoud, Salah, Tewfik, el-Meliguy; same director (Youssef Chahine)"
tm81728,The Land,tm90896,The Return of the Prodigal Son,music drama crime,0.2437,"similar genres: drama; shares cast members: Ali, El, Mahmoud, Sherif, el-Meliguy; same director (Youssef Chahine)"
tm81728,The Land,tm417488,Mama's Boy,comedy,0.2378,"shares cast members: Abdel, Ahmed, Al, Ali, El, Mahmoud"
tm94651,Dostana,tm342996,Duniya,action drama,0.1697,"similar genres: action, drama; shares cast members: Amrish, Chopra, Kapoor, Mac, Mohan, Pran, Prem, Puri, Singh"
tm94651,Dostana,tm96595,Lakshya,war action drama romance,0.1468,"similar genres: action, drama, romance; shares cast members: Abhimanyu, Amitabh, Amrish, Bachchan, Puri, Raj, Singh"
tm94651,Dostana,tm146887,Delhi-6,drama comedy,0.1438,"similar genres: comedy, drama; shares cast members: Amitabh, Bachchan, Chopra, Kapoor, Prem, Puri"
tm94651,Dostana,tm159912,Agneepath,drama action crime,0.136,"similar genres: action, crime, drama; shares cast members: Amitabh, Bachchan, Goga, Kapoor, Singh"
tm94651,Dostana,tm178513,Bombay Talkies,drama romance,0.1279,"similar genres: drama, romance; shares cast members: Amitabh, Bachchan, Chopra, Kapoor, Singh"
tm27298,Saladin the Victorious,tm14350,Alexandria… Why?,drama,0.3097,"similar genres: drama; shares cast members: Abdel, Ahmad, Ahmed, El, Fawzi, Hamdy, Leila, Mahmoud, Mohamed, Zaki, el-Meliguy; same director (Youssef Chahine)"
tm27298,Saladin the Victorious,tm81728,The Land,drama,0.2735,"similar genres: drama; shares cast members: Abdel, Ahmed, Dekn, El, Hamdy, Ibrahim, Mahmoud, Salah, Tewfik, el-Meliguy; same director (Youssef Chahine)"
tm27298,Saladin the Victorious,tm135083,Cairo Station,drama crime comedy,0.243,"similar genres: drama; shares cast members: Abdel, Ahmed, El, Lotfi, Loutfi, Mahmoud, Mazhar, Mohamed, Nadia; same director (Youssef Chahine)"
tm27298,Saladin the Victorious,tm815438,Sab el-Burumbah,comedy,0.2295,"shares cast members: Ahmad, Ahmed, El, Mohamed, Salah, Taher"
tm27298,Saladin the Victorious,tm823848,Mohamed Hussein,comedy,0.2257,"shares cast members: Ahmed, El, Hamdy, Mohamed"
tm100027,Alibaba Aur 40 Chor,tm849102,Shimla Mirchi,romance comedy,0.1596,"similar genres: romance; shares cast members: Dharmendra, Hema, Malini"
tm100027,Alibaba Aur 40 Chor,ts27586,Magi,scifi action animation comedy fantasy,0.0962,"similar genres: action, fantasy"
tm100027,Alibaba Aur 40 Chor,ts75341,Final Fantasy XIV: Dad of Light,drama,0.0922,similar genres: drama
tm100027,Alibaba Aur 40 Chor,tm94651,Dostana,drama comedy crime romance action,0.086,"similar genres: action, drama, romance; shares cast members: Aman, Chopra, Prem, Zeenat"
tm100027,Alibaba Aur 40 Chor,tm172482,Sohni Mahiwal,romance drama action,0.0845,"similar genres: action, drama, romance; shares cast members: Aman, Zeenat"
tm19608,The Blazing Sun,tm14350,Alexandria… Why?,drama,0.3239,"similar genres: drama; shares cast members: Abdel, Ahmad, Assir, Farid, Hamdy, Shawqi, Waress, Warith, Zaki; same director (Youssef Chahine)"
tm19608,The Blazing Sun,tm135083,Cairo Station,drama crime comedy,0.2705,"similar genres: crime, drama; shares cast members: Abdel, Farid, Ghani, Rostom, Shawqi; same director (Youssef Chahine)"
tm19608,The Blazing Sun,tm27298,Saladin the Victorious,action drama war history romance,0.2194,"similar genres: drama, romance; shares cast members: Abdel, Ahmad, Ghaith, Hamdy, Ibrahim, Omar, Zaki; same director (Youssef Chahine)"
tm19608,The Blazing Sun,tm204541,Dark Waters,action drama romance thriller,0.1878,"similar genres: drama, romance; shares cast members: Faten, Hamamah, Omar, Sharif; same director (Youssef Chahine)"
tm19608,The Blazing Sun,tm243070,Those who fear are dead,drama,0.1687,similar genres: drama; shares cast members: Abdel
tm204541,Dark Waters,tm27298,Saladin the Victorious,action drama war history romance,0.2071,"similar genres: action, drama, romance; shares cast members: Ahmed, Dekn, El, Husain, Omar, Reyadh, Tewfik; same director (Youssef Chahine)"
tm204541,Dark Waters,tm19608,The Blazing Sun,crime romance drama,0.1878,"similar genres: drama, romance; shares cast members: Faten, Hamamah, Omar, Sharif; same director (Youssef Chahine)"
tm204541,Dark Waters,tm151332,"Alexandria, Again and Forever",drama,0.1647,"similar genres: drama; shares cast members: Ahmed, El, Mohammed, Tewfik; same director (Youssef Chahine)"
tm204541,Dark Waters,tm81728,The Land,drama,0.1483,"similar genres: drama; shares cast members: Ahmed, Dekn, El, Tewfik; same director (Youssef Chahine)"
tm204541,Dark Waters,tm14350,Alexandria… Why?,drama,0.1308,"similar genres: drama; shares cast members: Ahmed, El; same director (Youssef Chahine)"
tm259855,We Are All for the Fatherland,tm200475,"Beirut, Oh Beirut",drama,0.1502,same director (Maroun Bagdadi)
tm259855,We Are All for the Fatherland,tm259684,Whispers,documentation,0.147,similar genres: documentation; same director (Maroun Bagdadi)
tm259855,We Are All for the Fatherland,tm52274,The Little Wars,war drama european,0.1223,same director (Maroun Bagdadi)
tm259855,We Are All for the Fatherland,tm7032,Out of Life,drama war crime european,0.1002,same director (Maroun Bagdadi)
tm259855,We Are All for the Fatherland,tm254745,Frontiers of Dreams and Fears,documentation history,0.0938,similar genres: documentation
tm356209,Singapore,tm455161,Panipat,history war romance action drama,0.0944,"similar genres: drama; shares cast members: Kapoor, Padmini"
tm356209,Singapore,tm29731,Chup Chup Ke,comedy drama romance,0.0922,similar genres: drama; shares cast members: Kapoor
tm356209,Singapore,tm59289,Rowdy Rathore,action comedy crime,0.0881,similar genres: crime; shares cast members: Kapoor
tm356209,Singapore,ts101874,Frontera Verde,crime drama thriller scifi,0.0871,"similar genres: crime, drama, thriller"
tm356209,Singapore,tm890660,The Paramedic,thriller action crime drama,0.0858,"similar genres: crime, drama, thriller; shares cast members: Maria"
ts45948,Monty Python's Fliegender Zirkus,tm62924,Monty Python Live at the Hollywood Bowl,comedy documentation,0.3567,"similar genres: comedy; shares cast members: Chapman, Cleese, Eric, Graham, Idle, John, Jones, Michael, Palin, Terry"
ts45948,Monty Python's Fliegender Zirkus,ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),comedy documentation,0.2845,"similar genres: comedy; shares cast members: Chapman, Cleese, Eric, Graham, Idle, John, Jones, Michael, Palin, Terry"
ts45948,Monty Python's Fliegender Zirkus,tm57169,Monty Python: Live at Aspen,comedy documentation,0.2735,"similar genres: comedy; shares cast members: Chapman, Cleese, Eric, Graham, Idle, John, Jones, Michael, Palin, Terry"
ts45948,Monty Python's Fliegender Zirkus,tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,comedy,0.2622,"similar genres: comedy; shares cast members: Chapman, Cleese, Eric, Graham, Idle, John, Jones, Michael, Palin, Terry; same director (Ian MacNaughton)"
ts45948,Monty Python's Fliegender Zirkus,ts29199,Monty Python's Personal Best,comedy animation,0.245,"similar genres: comedy; shares cast members: Chapman, Cleese, Eric, Graham, Idle, John, Jones, Michael, Palin, Terry"
tm200475,"Beirut, Oh Beirut",tm259855,We Are All for the Fatherland,documentation,0.1502,same director (Maroun Bagdadi)
tm200475,"Beirut, Oh Beirut",tm81728,The Land,drama,0.1152,"similar genres: drama; shares cast members: Ahmed, Al, Alaili, El, Ezzat"
tm200475,"Beirut, Oh Beirut",tm259684,Whispers,documentation,0.1107,same director (Maroun Bagdadi)
tm200475,"Beirut, Oh Beirut",tm684591,Freej Al Taibeen,comedy sport,0.1098,shares cast members: Al
tm200475,"Beirut, Oh Beirut",tm200926,Heritages,drama documentation european,0.1001,similar genres: drama
tm90896,The Return of the Prodigal Son,tm81728,The Land,drama,0.2437,"similar genres: drama; shares cast members: Ali, El, Mahmoud, Sherif, el-Meliguy; same director (Youssef Chahine)"
tm90896,The Return of the Prodigal Son,tm14350,Alexandria… Why?,drama,0.234,"similar genres: drama; shares cast members: Ahmad, Bedir, El, Mahmoud, el-Meliguy; same director (Youssef Chahine)"
tm90896,The Return of the Prodigal Son,tm428982,Son Of Adam,drama thriller,0.2213,"similar genres: drama; shares cast members: Ahmad, El, Mahmoud, Sherif"
tm90896,The Return of the Prodigal Son,tm417488,Mama's Boy,comedy,0.1991,"shares cast members: Ali, El, Hesham, Mahmoud, Soltan"
tm90896,The Return of the Prodigal Son,tm151332,"Alexandria, Again and Forever",drama,0.1958,"similar genres: drama; shares cast members: El, Hesham, Hoda, Hussain, Rajaa, Selim, Soltan; same director (Youssef Chahine)"
tm336403,Khoon Khoon,ts34737,La Reina del Sur,drama crime action thriller,0.0827,"similar genres: crime, thriller"
tm336403,Khoon Khoon,tm219817,Talvar,thriller drama crime,0.0775,"similar genres: crime, thriller; shares cast members: Sen"
tm336403,Khoon Khoon,tm309115,Naam Shabana,thriller action drama,0.0724,"similar genres: thriller; shares cast members: Danny, Denzongpa"
tm336403,Khoon Khoon,tm334788,Yodha,action drama,0.0638,"shares cast members: Danny, Denzongpa"
tm336403,Khoon Khoon,ts320075,Aranyak,thriller drama crime,0.0623,"similar genres: crime, thriller"
tm107372,Manoranjan,ts343404,Mai: A Mother's Rage,drama thriller crime,0.0882,similar genres: drama
tm107372,Manoranjan,ts256072,The Woman in the House Across the Street from the Girl in the Window,thriller crime drama comedy,0.0846,"similar genres: comedy, drama"
tm107372,Manoranjan,tm456667,Black,action,0.0826,similar description and thematic content
tm107372,Manoranjan,tm117873,Hum Aapke Hain Koun..!,drama romance comedy,0.081,"similar genres: comedy, drama, romance"
tm107372,Manoranjan,tm151807,Creep,horror thriller,0.0696,similar description and thematic content
tm358653,Ujala,tm52815,Disco Dancer,drama romance,0.1278,"similar genres: drama, romance; shares cast members: Tun"
tm358653,Ujala,tm919903,Tragic Jungle,drama thriller,0.1204,similar genres: drama; shares cast members: Tun
tm358653,Ujala,tm235979,My Friend Pinto,comedy crime drama,0.1086,"similar genres: crime, drama"
tm358653,Ujala,tm181550,Once Upon a Time in Mumbai Dobaara!,action crime drama romance,0.1035,"similar genres: crime, drama, romance; shares cast members: Kumar, Sinha"
tm358653,Ujala,tm311264,Muqaddar Ka Faisla,action comedy drama family,0.1031,"similar genres: drama; shares cast members: Kumar, Raaj"
tm259684,Whispers,tm259855,We Are All for the Fatherland,documentation,0.147,similar genres: documentation; same director (Maroun Bagdadi)
tm259684,Whispers,tm200475,"Beirut, Oh Beirut",drama,0.1107,same director (Maroun Bagdadi)
tm259684,Whispers,tm52274,The Little Wars,war drama european,0.0889,same director (Maroun Bagdadi)
tm259684,Whispers,tm464888,Love Aaj Kal,romance comedy drama,0.0822,similar description and thematic content
tm259684,Whispers,ts257271,The Time It Takes,drama romance comedy,0.0714,shares cast members: Nadia
tm403346,Chadi Jawani Budhe Nu,tm878495,Kambili: The Whole 30 Yards,romance comedy,0.0892,similar genres: romance
tm403346,Chadi Jawani Budhe Nu,ts204466,Pecados capitales,romance comedy drama,0.084,similar genres: romance
tm403346,Chadi Jawani Budhe Nu,ts38511,Love,comedy drama romance,0.0776,similar genres: romance
tm403346,Chadi Jawani Budhe Nu,tm38331,The Mistress,romance drama,0.0759,similar genres: romance
tm403346,Chadi Jawani Budhe Nu,ts21664,One on One,comedy,0.0733,similar description and thematic content
tm16812,Bandie,tm419052,Ek Jaan Hain Hum,family romance,0.14,similar genres: romance
tm16812,Bandie,tm166293,The Blue Umbrella,drama family fantasy comedy,0.07,similar genres: drama
tm16812,Bandie,tm157603,Dil,drama comedy romance,0.0687,"similar genres: drama, romance"
tm16812,Bandie,tm111226,Awara Paagal Deewana,comedy action crime drama thriller,0.0681,"similar genres: action, drama; shares cast members: Kumar"
tm16812,Bandie,tm256669,Gumrah,drama action crime thriller,0.067,"similar genres: action, drama; shares cast members: Dutt"
ts20681,Seinfeld,tm887369,Jerry Seinfeld: 23 Hours to Kill,comedy,0.2222,"similar genres: comedy; shares cast members: Jerry, Seinfeld"
ts20681,Seinfeld,tm272413,Colin Quinn: The New York Story,comedy,0.2083,similar genres: comedy
ts20681,Seinfeld,tm348568,Jerry Before Seinfeld,comedy documentation,0.1928,"similar genres: comedy; shares cast members: Jerry, Seinfeld"
ts20681,Seinfeld,tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,comedy documentation,0.1752,"similar genres: comedy; shares cast members: Jerry, Michael, Seinfeld"
ts20681,Seinfeld,ts9794,Comedians in Cars Getting Coffee,comedy animation family,0.1707,"similar genres: comedy; shares cast members: Jerry, Seinfeld"
